index,SEND_SPG_INNB,REC_SPG_INNB,DL_GD_LCLS_NM,DL_GD_MCLS_NM,INVC_CONT
35,4146100000000000.0,5011000000000000.0,생활/건강,문구/사무용품,10
36,4146100000000000.0,5013000000000000.0,식품,냉동/간편조리식품,4
37,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
38,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,4
39,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,6
40,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
41,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,4
42,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
43,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
44,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
45,4148000000000000.0,5013000000000000.0,여행/문화,문화컨텐츠,3
46,4148000000000000.0,5013000000000000.0,여행/문화,문화컨텐츠,3
47,4148000000000000.0,5013000000000000.0,여행/문화,문화컨텐츠,5
48,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
49,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
50,4148000000000000.0,5013000000000000.0,생활/건강,음반,4
51,4148000000000000.0,5013000000000000.0,생활/건강,음반,4
52,4150000000000000.0,5011000000000000.0,식품,음료,3
53,4150000000000000.0,5013000000000000.0,생활/건강,반려동물,3
54,4150000000000000.0,5011000000000000.0,식품,건강식품,3
55,4150000000000000.0,5011000000000000.0,식품,건강식품,3
56,4150000000000000.0,5011000000000000.0,식품,건강식품,3
57,4157000000000000.0,5011000000000000.0,식품,농산물,10
58,4157000000000000.0,5011000000000000.0,생활/건강,주방용품,3
59,4157000000000000.0,5011000000000000.0,식품,가공식품,4
60,4157000000000000.0,5011000000000000.0,식품,가공식품,4
61,4159000000000000.0,5011000000000000.0,식품,건강식품,4
62,4159000000000000.0,5011000000000000.0,식품,냉동/간편조리식품,3
63,4159000000000000.0,5011000000000000.0,식품,음료,6
64,4159000000000000.0,5013000000000000.0,식품,건강식품,3
65,4159000000000000.0,5013000000000000.0,생활/건강,반려동물,4
66,4161000000000000.0,5011000000000000.0,식품,건강식품,17
67,4161000000000000.0,5011000000000000.0,생활/건강,건강용품,130
68,4163000000000000.0,5011000000000000.0,식품,기타식품,3
69,4165000000000000.0,5013000000000000.0,식품,기타식품,5
70,4165000000000000.0,5011000000000000.0,생활/건강,생활용품,3
71,4213000000000000.0,5011000000000000.0,식품,냉동/간편조리식품,3
72,4282000000000000.0,5011000000000000.0,식품,음료,5
73,4311100000000000.0,5011000000000000.0,식품,음료,6
74,4313000000000000.0,5011000000000000.0,생활/건강,반려동물,3
75,4377000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,5
76,4427000000000000.0,5011000000000000.0,식품,건강식품,3
77,4427000000000000.0,5011000000000000.0,식품,건강식품,3
78,4514000000000000.0,5011000000000000.0,식품,수산,14
79,4688000000000000.0,5011000000000000.0,생활/건강,건강용품,35
80,4812500000000000.0,5011000000000000.0,식품,과자,6
81,4825000000000000.0,5011000000000000.0,생활/건강,주방용품,5
82,5011000000000000.0,2826000000000000.0,식품,수산,6
83,5011000000000000.0,1123000000000000.0,식품,농산물,3
84,5011000000000000.0,1147000000000000.0,식품,농산물,3
85,5011000000000000.0,1150000000000000.0,식품,농산물,3
86,5011000000000000.0,1156000000000000.0,식품,농산물,16
87,5011000000000000.0,2617000000000000.0,식품,농산물,4
88,5011000000000000.0,2647000000000000.0,식품,농산물,5
89,5011000000000000.0,2726000000000000.0,식품,농산물,4
90,5011000000000000.0,2729000000000000.0,식품,농산물,3
91,5011000000000000.0,2818500000000000.0,식품,농산물,7
92,5011000000000000.0,2824500000000000.0,식품,농산물,3
93,5011000000000000.0,2826000000000000.0,식품,농산물,3
94,5011000000000000.0,2920000000000000.0,식품,농산물,3
95,5011000000000000.0,3117000000000000.0,식품,농산물,3
96,5011000000000000.0,4111100000000000.0,식품,농산물,3
97,5011000000000000.0,4119500000000000.0,식품,농산물,3
98,5011000000000000.0,4121000000000000.0,식품,농산물,3
99,5011000000000000.0,4128100000000000.0,식품,농산물,3
100,5011000000000000.0,4131000000000000.0,식품,농산물,3
101,5011000000000000.0,4136000000000000.0,식품,농산물,3
102,5011000000000000.0,4137000000000000.0,식품,농산물,4
103,5011000000000000.0,4139000000000000.0,식품,농산물,3
104,5011000000000000.0,4146100000000000.0,식품,농산물,6
105,5011000000000000.0,4148000000000000.0,식품,농산물,3
106,5011000000000000.0,4148000000000000.0,식품,농산물,3
107,5011000000000000.0,4148000000000000.0,식품,농산물,4
108,5011000000000000.0,4150000000000000.0,식품,농산물,3
109,5011000000000000.0,4155000000000000.0,식품,농산물,4
110,5011000000000000.0,4159000000000000.0,식품,농산물,3
111,5011000000000000.0,4413100000000000.0,식품,농산물,3
112,5011000000000000.0,4413100000000000.0,식품,농산물,7
113,5011000000000000.0,4511300000000000.0,식품,농산물,3
114,5011000000000000.0,4615000000000000.0,식품,농산물,3
115,5011000000000000.0,4687000000000000.0,식품,농산물,4
116,5011000000000000.0,4713000000000000.0,식품,농산물,3
117,5011000000000000.0,4812300000000000.0,식품,농산물,3
118,5011000000000000.0,4812900000000000.0,식품,농산물,4
119,5011000000000000.0,4812900000000000.0,식품,농산물,3
120,5011000000000000.0,2729000000000000.0,식품,농산물,3
121,5011000000000000.0,4311100000000000.0,식품,가공식품,3
122,5011000000000000.0,1144000000000000.0,식품,농산물,3
123,5011000000000000.0,2820000000000000.0,식품,농산물,4
124,5011000000000000.0,2920000000000000.0,식품,농산물,3
125,5011000000000000.0,4111300000000000.0,식품,농산물,3
126,5011000000000000.0,4119900000000000.0,식품,농산물,3
127,5011000000000000.0,4127100000000000.0,식품,농산물,3
128,5011000000000000.0,4128100000000000.0,식품,농산물,3
129,5011000000000000.0,4145000000000000.0,식품,농산물,3
130,5011000000000000.0,4146100000000000.0,식품,농산물,3
131,5011000000000000.0,4223000000000000.0,식품,농산물,4
132,5011000000000000.0,4684000000000000.0,식품,농산물,8
133,5011000000000000.0,4825000000000000.0,식품,농산물,3
134,5011000000000000.0,4131000000000000.0,식품,과자,22
135,5011000000000000.0,4719000000000000.0,식품,수산,7
136,5011000000000000.0,4513000000000000.0,식품,음료,13
137,5011000000000000.0,1126000000000000.0,식품,농산물,6
138,5011000000000000.0,4115000000000000.0,식품,농산물,4
139,5011000000000000.0,3114000000000000.0,식품,축산,3
140,5011000000000000.0,4128700000000000.0,식품,농산물,3
141,5011000000000000.0,4728000000000000.0,식품,농산물,4
142,5011000000000000.0,4117300000000000.0,식품,가공식품,10
143,5011000000000000.0,4122000000000000.0,식품,수산,3
144,5011000000000000.0,4146100000000000.0,식품,기타식품,4
145,5011000000000000.0,4141000000000000.0,식품,냉동/간편조리식품,4
146,5011000000000000.0,4623000000000000.0,식품,냉동/간편조리식품,3
147,5011000000000000.0,4782000000000000.0,식품,기타식품,5
148,5011000000000000.0,1150000000000000.0,식품,농산물,3
149,5011000000000000.0,4111100000000000.0,식품,기타식품,3
150,5011000000000000.0,4119900000000000.0,식품,가공식품,4
151,5011000000000000.0,4822000000000000.0,식품,농산물,3
152,5011000000000000.0,4613000000000000.0,식품,농산물,3
153,5011000000000000.0,1130500000000000.0,식품,농산물,3
154,5011000000000000.0,1162000000000000.0,패션의류,기타패션의류,7
155,5011000000000000.0,4161000000000000.0,식품,수산,3
156,5011000000000000.0,4511300000000000.0,식품,수산,3
157,5011000000000000.0,4514000000000000.0,식품,수산,5
158,5011000000000000.0,2635000000000000.0,식품,농산물,33
159,5011000000000000.0,4211000000000000.0,패션의류,기타패션의류,3
160,5011000000000000.0,4427000000000000.0,식품,농산물,4
161,5011000000000000.0,4514000000000000.0,식품,수산,6
162,5011000000000000.0,4615000000000000.0,식품,건강식품,36
163,5011000000000000.0,1111000000000000.0,식품,음료,4
164,5011000000000000.0,2720000000000000.0,식품,농산물,3
165,5011000000000000.0,4165000000000000.0,식품,음료,3
166,5011000000000000.0,4679000000000000.0,식품,농산물,3
167,5011000000000000.0,4514000000000000.0,식품,농산물,4
168,5011000000000000.0,1120000000000000.0,식품,과자,4
169,5011000000000000.0,1162000000000000.0,식품,농산물,3
170,5011000000000000.0,4420000000000000.0,식품,농산물,3
171,5011000000000000.0,1159000000000000.0,식품,농산물,4
172,5011000000000000.0,1168000000000000.0,식품,농산물,3
173,5011000000000000.0,1174000000000000.0,식품,농산물,5
174,5011000000000000.0,2871000000000000.0,식품,음료,3
175,5011000000000000.0,4136000000000000.0,식품,농산물,3
176,5011000000000000.0,1117000000000000.0,생활/건강,문구/사무용품,4
177,5011000000000000.0,1138000000000000.0,식품,농산물,3
178,5011000000000000.0,1150000000000000.0,식품,농산물,3
179,5011000000000000.0,1165000000000000.0,식품,농산물,3
180,5011000000000000.0,2824500000000000.0,식품,농산물,4
181,5011000000000000.0,4783000000000000.0,식품,농산물,3
182,5011000000000000.0,4817000000000000.0,식품,농산물,3
183,5011000000000000.0,4146500000000000.0,식품,음료,6
184,5011000000000000.0,2826000000000000.0,식품,음료,3
185,5011000000000000.0,4719000000000000.0,식품,음료,3
186,5011000000000000.0,4413300000000000.0,식품,농산물,6
187,5011000000000000.0,4115000000000000.0,식품,농산물,3
188,5011000000000000.0,4713000000000000.0,식품,농산물,17
189,5011000000000000.0,4421000000000000.0,식품,농산물,4
190,5011000000000000.0,1165000000000000.0,식품,농산물,9
191,5011000000000000.0,1114000000000000.0,생활/건강,음반,4
192,5011000000000000.0,1117000000000000.0,생활/건강,음반,3
193,5011000000000000.0,1174000000000000.0,생활/건강,음반,3
194,5011000000000000.0,2720000000000000.0,생활/건강,음반,3
195,5011000000000000.0,3114000000000000.0,생활/건강,음반,3
196,5011000000000000.0,4113500000000000.0,생활/건강,음반,3
197,5011000000000000.0,4115000000000000.0,생활/건강,음반,4
198,5011000000000000.0,5011000000000000.0,생활/건강,음반,3
199,5011000000000000.0,4113500000000000.0,식품,농산물,3
200,5011000000000000.0,4163000000000000.0,식품,농산물,4
201,5011000000000000.0,4427000000000000.0,식품,농산물,3
202,5011000000000000.0,2729000000000000.0,식품,축산,25
203,5011000000000000.0,4315000000000000.0,식품,기타식품,5
204,5011000000000000.0,3017000000000000.0,식품,농산물,3
205,5011000000000000.0,4159000000000000.0,식품,농산물,3
206,5011000000000000.0,3023000000000000.0,식품,농산물,3
207,5011000000000000.0,4129000000000000.0,식품,농산물,3
208,5011000000000000.0,1144000000000000.0,식품,농산물,6
209,5011000000000000.0,4480000000000000.0,식품,농산물,5
210,5011000000000000.0,2714000000000000.0,식품,음료,8
211,5011000000000000.0,2647000000000000.0,식품,농산물,5
212,5011000000000000.0,1132000000000000.0,식품,농산물,12
213,5011000000000000.0,4146500000000000.0,식품,농산물,3
214,5011000000000000.0,4825000000000000.0,식품,농산물,4
215,5011000000000000.0,1159000000000000.0,식품,음료,3
216,5011000000000000.0,4812900000000000.0,식품,음료,3
217,5011000000000000.0,2823700000000000.0,식품,농산물,3
218,5011000000000000.0,4182000000000000.0,식품,농산물,4
219,5013000000000000.0,2824500000000000.0,식품,농산물,10
220,5013000000000000.0,4115000000000000.0,식품,농산물,3
221,5013000000000000.0,2824500000000000.0,식품,기타식품,3
222,5013000000000000.0,1159000000000000.0,식품,농산물,5
223,5013000000000000.0,4122000000000000.0,식품,농산물,4
224,5013000000000000.0,2647000000000000.0,식품,농산물,6
225,5013000000000000.0,1129000000000000.0,식품,농산물,3
226,5013000000000000.0,4159000000000000.0,식품,농산물,5
227,5013000000000000.0,4812900000000000.0,식품,농산물,4
228,5013000000000000.0,1129000000000000.0,식품,농산물,5
229,5013000000000000.0,4127100000000000.0,식품,농산물,5
230,5013000000000000.0,2723000000000000.0,생활/건강,생활용품,4
231,5013000000000000.0,1121500000000000.0,식품,농산물,3
232,5013000000000000.0,1129000000000000.0,식품,농산물,3
233,5013000000000000.0,1144000000000000.0,식품,농산물,3
234,5013000000000000.0,1171000000000000.0,식품,농산물,3
235,5013000000000000.0,2635000000000000.0,식품,농산물,3
236,5013000000000000.0,2635000000000000.0,식품,농산물,3
237,5013000000000000.0,2917000000000000.0,식품,농산물,10
238,5013000000000000.0,3117000000000000.0,식품,농산물,4
239,5013000000000000.0,3120000000000000.0,식품,농산물,4
240,5013000000000000.0,4113500000000000.0,식품,농산물,3
241,5013000000000000.0,4113500000000000.0,식품,농산물,3
242,5013000000000000.0,4113500000000000.0,식품,농산물,3
243,5013000000000000.0,4115000000000000.0,식품,농산물,3
244,5013000000000000.0,4128100000000000.0,식품,농산물,3
245,5013000000000000.0,4511100000000000.0,식품,농산물,3
246,5013000000000000.0,4514000000000000.0,식품,농산물,3
247,5013000000000000.0,4155000000000000.0,식품,농산물,5
248,5013000000000000.0,2917000000000000.0,식품,농산물,4
249,5013000000000000.0,3120000000000000.0,식품,농산물,3
250,5013000000000000.0,4119500000000000.0,식품,농산물,3
251,5013000000000000.0,4413100000000000.0,식품,농산물,5
252,5013000000000000.0,1141000000000000.0,식품,농산물,3
253,5013000000000000.0,1114000000000000.0,식품,농산물,3
254,5013000000000000.0,1141000000000000.0,식품,농산물,3
255,5013000000000000.0,1162000000000000.0,식품,농산물,3
256,5013000000000000.0,1171000000000000.0,식품,농산물,3
257,5013000000000000.0,2818500000000000.0,식품,농산물,3
258,5013000000000000.0,2826000000000000.0,식품,농산물,7
259,5013000000000000.0,4119500000000000.0,식품,농산물,7
260,5013000000000000.0,4128100000000000.0,식품,농산물,3
261,5013000000000000.0,4313000000000000.0,식품,농산물,4
262,5013000000000000.0,4423000000000000.0,식품,농산물,3
263,5013000000000000.0,4480000000000000.0,식품,농산물,4
264,5013000000000000.0,4812900000000000.0,식품,농산물,3
265,5013000000000000.0,4889000000000000.0,식품,농산물,3
266,5013000000000000.0,2717000000000000.0,식품,농산물,4
267,5013000000000000.0,4157000000000000.0,식품,농산물,3
268,5013000000000000.0,4148000000000000.0,식품,농산물,3
269,5013000000000000.0,4221000000000000.0,식품,농산물,3
270,5013000000000000.0,1147000000000000.0,식품,농산물,3
271,5013000000000000.0,4128100000000000.0,식품,농산물,3
272,5013000000000000.0,4833000000000000.0,식품,농산물,8
273,5013000000000000.0,3017000000000000.0,식품,농산물,4
274,5013000000000000.0,4111500000000000.0,식품,농산물,3
275,5013000000000000.0,4513000000000000.0,식품,농산물,3
276,5013000000000000.0,4822000000000000.0,식품,농산물,16
277,5013000000000000.0,1129000000000000.0,식품,농산물,3
278,5013000000000000.0,2647000000000000.0,식품,농산물,3
279,5013000000000000.0,4111300000000000.0,식품,농산물,5
280,5013000000000000.0,1123000000000000.0,식품,농산물,7
281,5013000000000000.0,1156000000000000.0,식품,농산물,7
282,5013000000000000.0,4127300000000000.0,식품,농산물,4
283,5013000000000000.0,4413100000000000.0,식품,농산물,3
284,5013000000000000.0,2818500000000000.0,식품,농산물,5
285,5013000000000000.0,4313000000000000.0,식품,농산물,3
286,5013000000000000.0,2723000000000000.0,식품,농산물,4
287,5013000000000000.0,1132000000000000.0,식품,음료,3
288,5013000000000000.0,3117000000000000.0,식품,농산물,3
289,5013000000000000.0,1150000000000000.0,식품,농산물,4
290,5013000000000000.0,4143000000000000.0,식품,과자,4
291,5013000000000000.0,4380000000000000.0,식품,농산물,10
292,5013000000000000.0,1153000000000000.0,식품,농산물,4
293,5013000000000000.0,1168000000000000.0,식품,농산물,3
294,5013000000000000.0,1171000000000000.0,식품,농산물,3
295,5013000000000000.0,4115000000000000.0,식품,농산물,3
296,5013000000000000.0,4121000000000000.0,식품,농산물,4
297,5013000000000000.0,4146500000000000.0,식품,농산물,3
298,5013000000000000.0,4420000000000000.0,식품,농산물,4
299,5013000000000000.0,4812100000000000.0,식품,농산물,3
300,5013000000000000.0,4157000000000000.0,식품,농산물,3
301,5013000000000000.0,3611000000000000.0,식품,농산물,7
302,5013000000000000.0,3011000000000000.0,식품,농산물,10
303,5013000000000000.0,1141000000000000.0,식품,농산물,5
304,5013000000000000.0,2635000000000000.0,식품,농산물,3
305,5013000000000000.0,1123000000000000.0,식품,농산물,5
306,5013000000000000.0,5011000000000000.0,식품,농산물,4
307,5013000000000000.0,4131000000000000.0,식품,농산물,3
308,5013000000000000.0,4413300000000000.0,식품,농산물,4
309,5013000000000000.0,2644000000000000.0,식품,농산물,7
310,5013000000000000.0,4117100000000000.0,식품,농산물,7
311,5013000000000000.0,4150000000000000.0,식품,농산물,6
312,5013000000000000.0,4128700000000000.0,식품,농산물,3
313,5013000000000000.0,2629000000000000.0,식품,농산물,3
314,1117000000000000.0,5011000000000000.0,디지털/가전,기타디지털/가전,3
315,1117000000000000.0,5013000000000000.0,디지털/가전,기타디지털/가전,9
316,1117000000000000.0,5011000000000000.0,생활/건강,문구/사무용품,4
317,1129000000000000.0,5011000000000000.0,생활/건강,생활용품,3
318,1135000000000000.0,5011000000000000.0,생활/건강,반려동물,8
319,1153000000000000.0,5013000000000000.0,식품,건강식품,5
320,1159000000000000.0,5013000000000000.0,패션의류,기타패션의류,3
321,1165000000000000.0,5013000000000000.0,식품,가공식품,5
322,2723000000000000.0,5011000000000000.0,식품,과자,4
323,2723000000000000.0,5011000000000000.0,식품,가공식품,5
324,2723000000000000.0,5013000000000000.0,식품,가공식품,3
325,2771000000000000.0,5011000000000000.0,식품,농산물,3
326,3020000000000000.0,5013000000000000.0,식품,과자,3
327,3171000000000000.0,5011000000000000.0,식품,건강식품,6
328,4111100000000000.0,5011000000000000.0,식품,농산물,3
329,4111700000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,5
330,4122000000000000.0,5011000000000000.0,생활/건강,건강용품,4
331,4122000000000000.0,5011000000000000.0,식품,가공식품,3
332,4122000000000000.0,5013000000000000.0,식품,가공식품,3
333,4128500000000000.0,5011000000000000.0,화장품/미용,스킨케어,3
334,4128700000000000.0,5013000000000000.0,생활/건강,주방용품,10
335,4128700000000000.0,5013000000000000.0,여행/문화,문화컨텐츠,3
336,4136000000000000.0,5011000000000000.0,생활/건강,반려동물,4
337,4136000000000000.0,5011000000000000.0,생활/건강,생활용품,3
338,4136000000000000.0,5011000000000000.0,생활/건강,반려동물,3
339,4136000000000000.0,5011000000000000.0,생활/건강,반려동물,6
340,4141000000000000.0,5011000000000000.0,식품,가공식품,4
341,4141000000000000.0,5013000000000000.0,식품,가공식품,3
342,4141000000000000.0,5011000000000000.0,화장품/미용,스킨케어,3
343,4141000000000000.0,5011000000000000.0,패션의류,상의,4
344,4141000000000000.0,5013000000000000.0,식품,건강식품,3
345,4146100000000000.0,5011000000000000.0,생활/건강,문구/사무용품,10
346,4146100000000000.0,5013000000000000.0,화장품/미용,스킨케어,3
347,4146100000000000.0,5011000000000000.0,식품,냉동/간편조리식품,4
348,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,6
349,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
350,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
351,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,6
352,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
353,4148000000000000.0,5013000000000000.0,여행/문화,문화컨텐츠,6
354,4148000000000000.0,5013000000000000.0,여행/문화,문화컨텐츠,4
355,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,3
356,4148000000000000.0,5011000000000000.0,여행/문화,문화컨텐츠,12
357,4148000000000000.0,5011000000000000.0,생활/건강,음반,4
358,4148000000000000.0,5013000000000000.0,생활/건강,음반,3
359,4150000000000000.0,5011000000000000.0,생활/건강,생활용품,4
360,4150000000000000.0,5011000000000000.0,식품,건강식품,3
361,4150000000000000.0,5011000000000000.0,생활/건강,반려동물,4
362,4150000000000000.0,5013000000000000.0,식품,건강식품,5
363,4157000000000000.0,5013000000000000.0,생활/건강,주방용품,13
364,4157000000000000.0,5011000000000000.0,식품,농산물,12
365,4159000000000000.0,5011000000000000.0,식품,건강식품,5
366,4159000000000000.0,5011000000000000.0,식품,냉동/간편조리식품,3
367,4159000000000000.0,5011000000000000.0,식품,가공식품,4
368,4159000000000000.0,5011000000000000.0,식품,농산물,4
369,4159000000000000.0,5011000000000000.0,식품,음료,4
370,4159000000000000.0,5011000000000000.0,식품,냉동/간편조리식품,5
371,4161000000000000.0,5011000000000000.0,식품,냉동/간편조리식품,4
372,4161000000000000.0,5013000000000000.0,생활/건강,주방용품,3
373,4282000000000000.0,5011000000000000.0,식품,음료,3
374,4311300000000000.0,5013000000000000.0,생활/건강,주방용품,4
375,4376000000000000.0,5013000000000000.0,식품,농산물,3
376,4420000000000000.0,5011000000000000.0,생활/건강,반려동물,3
377,4579000000000000.0,5011000000000000.0,식품,축산,3
378,4711300000000000.0,5013000000000000.0,식품,과자,4
379,5011000000000000.0,4514000000000000.0,식품,수산,3
380,5011000000000000.0,1126000000000000.0,식품,농산물,3
381,5011000000000000.0,1129000000000000.0,식품,농산물,3
382,5011000000000000.0,1130500000000000.0,식품,농산물,3
383,5011000000000000.0,1132000000000000.0,식품,농산물,4
384,5011000000000000.0,1150000000000000.0,식품,농산물,4
385,5011000000000000.0,1165000000000000.0,식품,농산물,3
386,5011000000000000.0,2626000000000000.0,식품,농산물,3
387,5011000000000000.0,2635000000000000.0,식품,농산물,4
388,5011000000000000.0,2635000000000000.0,식품,농산물,5
389,5011000000000000.0,2653000000000000.0,식품,농산물,5
390,5011000000000000.0,2711000000000000.0,식품,농산물,3
391,5011000000000000.0,2818500000000000.0,식품,농산물,3
392,5011000000000000.0,2820000000000000.0,식품,농산물,3
393,5011000000000000.0,2823700000000000.0,식품,농산물,3
394,5011000000000000.0,2826000000000000.0,식품,농산물,4
395,5011000000000000.0,3020000000000000.0,식품,농산물,3
396,5011000000000000.0,3611000000000000.0,식품,농산물,3
397,5011000000000000.0,4113500000000000.0,식품,농산물,3
398,5011000000000000.0,4137000000000000.0,식품,농산물,3
399,5011000000000000.0,4141000000000000.0,식품,농산물,3
400,5011000000000000.0,4146100000000000.0,식품,농산물,4
401,5011000000000000.0,4146100000000000.0,식품,농산물,3
402,5011000000000000.0,4159000000000000.0,식품,농산물,3
403,5011000000000000.0,4311300000000000.0,식품,농산물,6
404,5011000000000000.0,4413300000000000.0,식품,농산물,3
405,5011000000000000.0,4423000000000000.0,식품,농산물,3
406,5011000000000000.0,4511300000000000.0,식품,농산물,5
407,5011000000000000.0,4611000000000000.0,식품,농산물,4
408,5011000000000000.0,4613000000000000.0,식품,농산물,3
409,5011000000000000.0,4713000000000000.0,식품,농산물,4
410,5011000000000000.0,2726000000000000.0,식품,농산물,11
411,5011000000000000.0,4211000000000000.0,식품,건강식품,3
412,5011000000000000.0,1121500000000000.0,식품,농산물,3
413,5011000000000000.0,2623000000000000.0,식품,농산물,3
414,5011000000000000.0,2635000000000000.0,식품,농산물,3
415,5011000000000000.0,2641000000000000.0,식품,농산물,7
416,5011000000000000.0,2818500000000000.0,식품,농산물,4
417,5011000000000000.0,2823700000000000.0,식품,농산물,3
418,5011000000000000.0,4121000000000000.0,식품,농산물,3
419,5011000000000000.0,4121000000000000.0,식품,농산물,3
420,5011000000000000.0,4146300000000000.0,식품,농산물,3
421,5011000000000000.0,4159000000000000.0,식품,농산물,3
422,5011000000000000.0,4375000000000000.0,식품,농산물,3
423,5011000000000000.0,4673000000000000.0,식품,농산물,3
424,5011000000000000.0,4183000000000000.0,식품,수산,3
425,5011000000000000.0,4481000000000000.0,식품,수산,8
426,5011000000000000.0,4113300000000000.0,식품,농산물,3
427,5011000000000000.0,4159000000000000.0,식품,농산물,3
428,5011000000000000.0,4113500000000000.0,식품,농산물,7
429,5011000000000000.0,1123000000000000.0,식품,농산물,3
430,5011000000000000.0,2629000000000000.0,식품,농산물,3
431,5011000000000000.0,4136000000000000.0,식품,농산물,4
432,5011000000000000.0,4136000000000000.0,식품,음료,3
433,5011000000000000.0,4146500000000000.0,식품,농산물,3
434,5011000000000000.0,4273000000000000.0,식품,농산물,4
435,5011000000000000.0,4817000000000000.0,식품,농산물,3
436,5011000000000000.0,4728000000000000.0,식품,농산물,3
437,5011000000000000.0,4775000000000000.0,식품,농산물,5
438,5011000000000000.0,2623000000000000.0,식품,건강식품,7
439,5011000000000000.0,4377000000000000.0,식품,농산물,3
440,5011000000000000.0,4521000000000000.0,식품,농산물,9
441,5011000000000000.0,1162000000000000.0,식품,축산,11
442,5011000000000000.0,4127300000000000.0,식품,농산물,3
443,5011000000000000.0,1141000000000000.0,식품,농산물,8
444,5011000000000000.0,3017000000000000.0,식품,음료,4
445,5011000000000000.0,4215000000000000.0,식품,수산,3
446,5011000000000000.0,4313000000000000.0,식품,수산,11
447,5011000000000000.0,1171000000000000.0,식품,농산물,4
448,5011000000000000.0,4812300000000000.0,식품,농산물,3
449,5011000000000000.0,4157000000000000.0,식품,음료,14
450,5011000000000000.0,4113100000000000.0,식품,가공식품,4
451,5011000000000000.0,4311100000000000.0,식품,음료,3
452,5011000000000000.0,4617000000000000.0,식품,농산물,4
453,5011000000000000.0,4128700000000000.0,식품,음료,3
454,5011000000000000.0,1174000000000000.0,식품,농산물,3
455,5011000000000000.0,4155000000000000.0,식품,농산물,5
456,5011000000000000.0,4420000000000000.0,식품,농산물,5
457,5011000000000000.0,1162000000000000.0,식품,농산물,4
458,5011000000000000.0,3611000000000000.0,식품,농산물,3
